timestamp,meter_type,usage,unit
2024-01-01 00:00:00,electricity,0.72,kWh
2024-01-01 00:00:00,water,3.35,L
2024-01-01 01:00:00,electricity,0.677,kWh
2024-01-01 01:00:00,water,2.534,L
2024-01-01 02:00:00,electricity,0.731,kWh
2024-01-01 02:00:00,water,2.572,L
2024-01-01 03:00:00,electricity,0.791,kWh
2024-01-01 03:00:00,water,3.208,L
2024-01-01 04:00:00,electricity,0.67,kWh
2024-01-01 04:00:00,water,2.977,L
2024-01-01 05:00:00,electricity,0.67,kWh
2024-01-01 05:00:00,water,2.836,L
2024-01-01 06:00:00,electricity,2.583,kWh
2024-01-01 06:00:00,water,50.484,L
2024-01-01 07:00:00,electricity,2.402,kWh
2024-01-01 07:00:00,water,46.012,L
2024-01-01 08:00:00,electricity,2.126,kWh
2024-01-01 08:00:00,water,45.283,L
2024-01-01 09:00:00,electricity,2.352,kWh
2024-01-01 09:00:00,water,49.211,L
2024-01-01 10:00:00,electricity,1.636,kWh
2024-01-01 10:00:00,water,17.19,L
2024-01-01 11:00:00,electricity,1.636,kWh
2024-01-01 11:00:00,water,21.388,L
2024-01-01 12:00:00,electricity,1.758,kWh
2024-01-01 12:00:00,water,16.298,L
2024-01-01 13:00:00,electricity,1.388,kWh
2024-01-01 13:00:00,water,19.419,L
2024-01-01 14:00:00,electricity,1.42,kWh
2024-01-01 14:00:00,water,21.097,L
2024-01-01 15:00:00,electricity,1.62,kWh
2024-01-01 15:00:00,water,15.025,L
2024-01-01 16:00:00,electricity,1.542,kWh
2024-01-01 16:00:00,water,17.258,L
2024-01-01 17:00:00,electricity,3.186,kWh
2024-01-01 17:00:00,water,42.64,L
2024-01-01 18:00:00,electricity,2.808,kWh
2024-01-01 18:00:00,water,42.708,L
2024-01-01 19:00:00,electricity,2.653,kWh
2024-01-01 19:00:00,water,36.728,L
2024-01-01 20:00:00,electricity,3.542,kWh
2024-01-01 20:00:00,water,34.194,L
2024-01-01 21:00:00,electricity,3.019,kWh
2024-01-01 21:00:00,water,25.081,L
2024-01-01 22:00:00,electricity,1.728,kWh
2024-01-01 22:00:00,water,25.696,L
2024-01-01 23:00:00,electricity,1.472,kWh
2024-01-01 23:00:00,water,19.355,L
2024-01-02 00:00:00,electricity,0.649,kWh
2024-01-02 00:00:00,water,2.567,L
2024-01-02 01:00:00,electricity,0.694,kWh
